title,text,rating,parent_asin,sentiment,cluster
Perfection for PS5. Play/charge simultaneously,"I only bought this to charge my PS5 controllers. I always wish I had bought them for the PS4 which would get a loose charge port over time. Trying to prevent that this time. Not a fan of the finicky charge docks. And this method is absolutely the way to go. If you play long gaming sessions like I do. A charge dock is useless unless you have a second controller (I do, but it's for future use). With a charge cable this long, you can keep playing when the message pops that you need a recharge. A dozen charges in and it works great, and if my dog runs through my cable. It just falls and no damage. Time will tell how well it holds up. Happy so far.",4,B0B41Y16FN,positive,4
Works as posted,Now I have two in my machine. Can play my music for hours on a Blu-ray disk and never have to change it.,5,B08Y8WLKT2,positive,1
"Basic fastener, nice to have around","This is something you often need but never have! So great to keep cables organized, use for camping and gardening projects. I'm happy with these. They are a standard 11 inch fastener. All black and as the name suggests, they stay snug!",5,B07PMK7WVC,positive,4
This is good,But not perfect the guy in the video is a great actor which is sad but im not I won't lie this is an okay product but when you driving the reception is bad and you can't hear your music,5,B07SKFQQ48,positive,2
So protective,My daughter isn’t very gentle or careful so this is an amazing cover!,5,B07KTT23BB,positive,3
Perfect!,This stand was so inexpensive and it works great!,5,B08GKLM5T1,positive,3
Pretty good for the price,My main complaints - I have a hard time pulling these guys out of the charging case. And they aren't as comfortable as I would like. For 30 bucks they are pretty good and I would buy them again.,4,B08XNCHTCY,positive,2
"Fits my 17"" laptop nicely","I bought a 17"" laptop awhile back because I thought it would be great to have the nice large screen... etc... etc... I don't take it many places, but when I do, it's always a problem. I should have thought of that before, I suppose, but on vacations, I tend to just find a suitcase to squeeze it into. On a daytrip, it may end up in a random bag in the trunk - hardly a way to keep it safe. Well, I finally got myself a proper bag that seems to have been made for it! The bag itself is not heavily padded. In fact, I would describe it as ""adequately padded"". That is, it has enough padding to protect the laptop, but not so much that I would get careless with how I handle the thing. As for fit? Perfect! The laptop goes right in without difficulty but still doesn't seem to flop around inside. It also has extra pockets both inside and out - on both sides of the computer compartment. The outside pockets are zippered - and there's a shoulder strap that comes with it as well. Plain black... it's understated, as it should be. I like it... I'd recommend it.",5,B07JGLN4PF,positive,0
Works great--not for guests,"We were having a lot of trouble with our old router, constantly having to unplug and re-plug. Since we got this router we've had no problems. I deducted a star because we couldn't get the guest access to require a password. It was like opening up anyone to use our wireless without requiring a password. It's a nice idea to offer the whole guest account and password thing if it actually worked--but it doesn't.",4,B0C3DJMBTC,positive,1
love this,am very happy with my purchase and it was a good price. It fit my need very well. And if I need another one I will come back for this.,5,B004RYB2EI,positive,3
"Nice looking, does the job.","I was excited to get this product as I travel, go camping and also frequently spend time on my boat.I like it very much, the sound is much better than the cheap folding speakers I had been using. I was quite surprised by how loud the volume got before there was distortion. I used this with an iPhone 3Gs and it worked perfectly. No pop up about having to put the phone in airplane mode or any interference. I have an Incipio Silicrylic case on my phone and was able to get it into the dock without too much trouble, which was nice. I hate accessories that require you to remove the case. The speaker looks good, and comes with a neoprene case to protect it. The case isn't very pretty though. There is an odd, somewhat floppy, attached pouch for the a/c adapter that looks like a bit of an afterthought, but at least it's there. The only reason I give this 4 stars is the stand. It is thin plastic and swivels out when you press on it. The attachment does not feel terribly robust, and I worry about its durability. Also, the battery cover is behind it and didn't close securely the first time I installed the batteries. UPDATE: Six months later I am still using this and it's held up fine. I love it. I still wish the flip-out stand was a bit bigger/more robust, it's pretty easy to knock over. But I am very happy with it overall.",5,B00XIU3MJA,positive,2
Five Stars,Great - highly sensitive to movement - exactly what i wanted.,5,B01JW0ASNW,positive,3
Fit great,Fit like a glove,5,B07FDQXKCJ,positive,3
Five Stars,It works great!,5,B0087NZ31S,positive,3
Not worth the money at all,They wouldn't stay in my ear long enough to get a full review. I tried pushing them in further and twisting them wich didn't help. That only made my ear soar.,2,B08XPWDSWW,negative,2
Good for 2 months,They quit charging after 2 months,1,B07PDP94ZG,negative,4
Perfect,Works like a charm with my Toshiba Fire TV. Highly recommended.,5,B0BLZZRZ2H,positive,1
Nice quality product.,Really surprised at the quality and vividness of the colors. Worked without issues and made my pc build more eye pleasing.,5,B0BYHY17R5,positive,3
Good value for the price. Quality made product.,Good value for the price. Quality made product. I even like the assorted colors. I would recommend.,5,B09KXJBNGN,positive,3
LOTS OF PORTS!!!,"I've got 5 kids, I camp, I collect flashlights, and I'm a gamer, so you can imagine how many devices I have that use USB for power! This is the largest charger I ever saw, and it is as quiet as a regular sized one. I use this one in the utility room where I charge up my camping gear (flashlights and fans) for the next trip (or as emergency supplies for a hurricane). Highly recommended!",5,B0CCQHH8Z6,positive,4
Good product,"Loved it! Great reader, although I prefer my fire as paperwhite has a black and white only screen.",4,B0077SPHGU,positive,3
Looks great,This laptop cover looks great. It was too snug for my 13 inch HP Spectre but I was impressed with its quality.,5,B07FY9W5PT,positive,0
Good bargain tripod,"This is a lightweight tripod. That's good in that it's real easy to carry around. That's bad in that it's real easy to tip over, or break. With my camera sitting on top of this, it just doesn't look or feel solid. However, for what you get, it's pretty good. Another reviewer warned of the quick release. It looks good to me, but it's very easy to not get the the latch mechanism all the way fully latched. You have to give it an extra push to get it to fully latch closed. Once you do that, I think it will stay latched. But why worry about the quick release coming loose when the entire tripod is so easy to knock over? Nevertheless, this is a good starter tripod. A pro will want something costing 3 or 4 times this one.",3,B005ZDLEHK,neutral,0
It does the job,I needed something to contain my laptop and accessories. This works well and is not too flashy. I like the grey because it doesn't draw attention to my important belongings. There is enough room for everything plus more. It is lightweight and well made.,5,B0C9DMZ9DS,positive,0
Keyboard and mouse in one house.,The two things I like about this keyboard is one its wireless and two the mouse and scroller is in the keyboard. It's a little crazy to get used to using it but in the end is a good deal my friend. I highly recommend. Thank you. Your brother Oran Z,5,B0BR9N1PV4,positive,0
Works great,"Had this a few months, it works very well and the fast charger is really fast",5,B0C2W57TDX,positive,4
Disappointed,At first I was excited by how well it fit my MacBook. That was until I tried to use it. The card reader is worthless. The SD card constantly gets ejected even though the MacBook is sitting on a desk not moving.,1,B0CF6479D8,negative,0
Great device to have!,"Got this for my husband because he's a graphic designer. He says it's one of the most useful devices he owns. He can plug in his external hard drive, along with other things he uses or needs to charge. A great and useful addition for anyone who work heavily on computers.",4,B086WG4WFW,positive,1
I like these cables more all the time,So these cables arrived two weeks early and though I really wasn't expecting much of a difference there was a difference for sure these speaker cables are nice I noticed a improvement in the high end initially and I have only been using them for a couple hours but I am impressed for the money they are nice imho so now I've been listening for a few days these cables are a seriously better cable then my previous cables comparatively they were glorified lamp cord these have seriously changed the sound of my system well worth the money and basically exactly what they claim in the advertisement honestly I was not expecting this improvement in sound actually I am blown away I have has expensive cables that certainly made improvements in my system but for this small change I would have never believed it possible I guess you learn something new everyday now ive been using these cables for a while and they are stellar especially for the money great value imho,5,B08K4C9MX2,positive,2
Great brief with lifetime warranty,"This is a very nice and protective brief. It comes with a lifetime warranty - big plus! It is well constructed, it has a battery compartment to charge your phone in areas where you do not have access to power. It has extra protection for your laptop by suspending it above the bottom. And then you have compartments. Compartments for all of your necessities. Pens, glasses, cords, chargers and more. This has a hand grip or a shoulder tote, whichever you prefer. It also has a cable ready routing system so you don't get tangled cords. They should make women's purses with this much thought into the utilitarian function.",4,B06XG9N9MY,positive,0
"Not the best, but good enough","This card is used to supplement storage on a Walmart/Sero 7 which is used as a home media player. I use Wifi, to sync, and even plugged into the USB cable with the PC. Either my expectations on Class 10 storage is too high, or this could have been a better product. It seems to take forever, especially when synching large quantities of music files.",3,B007JTKLEK,neutral,1
Why do people still have to go to a store?,Perfect in every way!,5,B08MRTZWJ5,positive,3
Great speed,Got for my brother. he loves this laptop.,5,B08B1FLJ2B,positive,0
As expected but could be more sturdy,"Works as intended. The stand could be more stable, but it stands fine on its own.",5,B09GDZ74Q6,positive,0
Fits great in my ear! Great sound!,Loved the way the bud sits snug in my ear. The music quality is awesome,5,B0C338S8M7,positive,2
Takes nice photos,"Amateur photographer here. What’s below amateur? Whatever that is, is me. Hello, I am so new to photography lol. I have shaken hands and this doesn’t do well with shakey hands or fast moving objects. It takes patience to get a good picture. I am excited to practice more and learn with this lens cap. It takes detailed photos and is userfriendly! This is a purchase that I am SO thrilled I made. If you’re wondering if you should buy it, just get it!! It is cheap and worth every penny. I use a Nikon D3400.",5,B09PF6W1ZX,positive,3
Disappointing,"It is only good as a music playerb; i.e., Bluetooth and radio. None of the other functions worked. Disappointing",2,B082PJSCDQ,negative,1
Great buy,Works great with my sell computer and fits my ad card perfectly,5,B0C8633DBV,positive,1
Cute and chic,Great value! Very simple and chic! I use it as a bag charm and looks great on my purse. I like the security of the snap bc on a regular airpod case the case can accident open as it did for me one time and I lost an airpod.,5,B0814PW9HN,positive,0
Tech support not helpful not good for limited internet connections,Sharp clear images and somewhat ease of use but had to return it because it would not sync with phone at all - and I need it for when I am away. Tech support was not helpful - can only contact them through email and then sent the long link 2x's to supposedly resolve the issue. It also ate up all the bandwidth i have for internet in about 2 days - odd because it was not allowing me to push to smart phone telling me it was not connected.. Not good for someone with internet that has limited data such as satellite or jetpack hotspots.,3,B01C8BZGKW,neutral,1
Great for Hobby and Online,"I am very pleased with the SAMTIAN LED Video Light 2 Packs. The included color filters make for some really great effects. They worked well for several different occasions, and my teens used them for a couple of school classes that were online. The packaging is a simple box, but is suitable to re-use for storage between uses. I like the stands, they can adjust easily and hold the lights well. I consider this a great value for all that is included and the quality of the light. I would recommend this for hobby photography and for online video. Thank you for reading about my experience. I hope you found it helpful and kindly will click the button below.",5,B08HYGRKJG,positive,3
Great,Great charger,5,B07X1PNRGL,positive,4
I love my Apple Smart Watch,"I love my watch very much. It does so much for me! From fitness, talk through my phone with it, read my messages, etc.",5,B0B1VWCFXZ,positive,1
Better than my Chromecast,"You'll likely have to restart your device or phone so it'll link up, but it's better screen and audio quality than my chromecast. Great product!",5,B09WDKTDDV,positive,1
Great signal,Needed a new router with a better signal and this one had good reviews plus it was inexpensive. Very easy to set up and add devices to the server. Overall the signal is much stronger in the house.,5,B09J2LT45L,positive,1
"Cute, but not great.","I like the looks of the keyboard and mouse, however the tiny backspace button is a bit to get used to. And the mouse is already malfunctioning after a few months.",2,B09DCQ1VR9,negative,0
Highly recommend!,Works very well! Would highly recommend!,5,B07KTYJ769,positive,3
Horrible,Horrible headsets both if them broke within a week of receiving them. They fall apart so easily. Do not buy these.,1,B003GXFNC8,negative,2
Wish Amazon took more,"I wish it were just dot, not an accessory to use with the dot. I also wish the product description and instruction manual were more detailed. It is a little frustrating to have to do a Google search to figure out what the product is, then get it and have to do a Google search to figure out how to use it. It seems like Amazon is giving us no information on the glow light and the only information available is through third parties.",3,B07RR5WZCR,neutral,3
One Star,Wrong item for iMac. don't match at all.,1,B01IHL3MWQ,negative,0
"Good cord, looks well made and no difference in ...","Good cord, looks well made and no difference in the speeds I was seeing in a factory cord for my USB hub. Came in the length I ordered, so all in all good purchase. Edit : My original cord was way too close to my router due to its short length, Looked as if it was causing some of my WiFi issues and my IoT devices, specifically the 2.4 GHz. With this cord I could route it away from my router and eliminate all my issue with my WiFi. So yep 100 % happy so far, I even bumper up the star rating as I have not had any issues at all.",5,B00L90R2H4,positive,4
Siagate IronWolf has been fantastic,I was using WD Red Drives in my servers. Seagate upped the game and added quality of life upgrades to the IronWolf drives. I will say the IronWolf Pro drives are far superior but these are a great choice in the right uses. An excellent value indeed,5,B082N7RMDC,positive,1
Good,"The only reason this didn't get 5 stars was it requires 2 USB ports to be used for it to function. When someone is already utilizing several USB ports, this can be problematic.",4,B072BR5VWK,positive,1
Once in a while one goes out and does not ...,Once in a while one goes out and does not want to take a charge or hold much of a charge. The prices are inexpensive to replace and I always have extra batteries on hand when doing a lot of filming.,4,B01N75RAAS,positive,1
Five Stars,Good product for the price. The kids haven't broken them yet!,5,B0179DDISQ,positive,3
Doesn’t Replace Micro Cassette Recorders,"This little device makes good recordings, but the instructions for use are inadequate, which is true of most products available in this period of anti-consumer runaway capitalism. You have to find external software to listen to and save recordings, and the software they recommend doesn’t work, or at least it didn’t on my Mac. I miss microcasette recorders. They did the same thing, and they were much easier to operate. Digital is NOT always better.",2,B07C7N4X3S,negative,1
First impression,"I have Blink and this is my first Nest indoor cam. Both serve their purpose. Blink has no supsceiption fee, cloud storage is free, and it has incidental recording. Nest is always on (unless you turn it off). Nest is more than twice the price, but the quality! Nest is solid, really amazing. It was a little hard for me to position at first (that's what she said), but these things are addictive. It's really nice to be prepared.",5,B0B2V9KS41,positive,1
